duration_ms,track.explicit,key,danceability,energy,loudness,acousticness,instrumentalness,liveness,tempo,time_signature,track.popularity,track.album.release_date,track.name,artist.name
123360,FALSE,7,0.436,0.56,-8.238,0.55,0.906,0.186,119.071,4,67,2012-01-01,The Avengers,Alan Silvestri
119760,FALSE,4,0.592,0.327,-12.076,0.211,0.912,0.0621,120.033,4,43,2017-11-03,Butterflies,Dardust
178750,FALSE,2,0.489,0.424,-13.183,0.635,0.908,0.0476,110.023,4,1,2017-10-24,Below Horizon,Luwaks
143453,FALSE,2,0.382,0.578,-11.454,0.032,0.89,0.0821,133.99,4,3,2013-01-01,Iron Man 3,Brian Tyler
141994,FALSE,4,0.267,0.535,-13.332,0.535,0.948,0.112,85.015,4,2,2015-08-26,Geralt Of Rivia,Marcin Przybyłowicz
261853,FALSE,9,0.219,0.509,-11.543,0.432,0.606,0.0942,78.516,4,51,2018-04-27,Forge,Alan Silvestri
246627,FALSE,8,0.202,0.44,-10.112,0.291,0.94,0.102,143.847,4,56,2018-04-13,God of War,Bear McCreary
172107,FALSE,2,0.418,0.529,-12.674,0.33,0.895,0.148,128.052,4,35,2014-11-17,Dragon Age Inquisition Theme,Trevor Morris
259082,FALSE,9,0.248,0.507,-11.68,0.16,0.889,0.172,79.54,4,50,2015-03-10,Light of Nibel (feat. Aeralie Brighton),"Gareth Coker, Aeralie Brighton"
170560,FALSE,2,0.288,0.288,-16.518,0.552,0.952,0.171,86.393,4,7,2013-06-04,A Lannister Always Pays His Debts,Ramin Djawadi
219093,FALSE,9,0.251,0.0575,-16.985,0.605,0.922,0.098,95.947,4,6,2014-11-18,Mountains,Hans Zimmer
133378,FALSE,7,0.32,0.621,-12.207,0.0429,0.896,0.0802,128.025,3,53,2013-10-14,Assassin's Creed IV Black Flag Main Theme,Brian Tyler
150493,FALSE,0,0.163,0.133,-18.363,0.879,0.872,0.121,68.662,4,44,2014-09-26,The Traveler,"Michael Salvatori, C Paul Johnson, Martin O'Donnell, Paul McCartney"
119363,FALSE,9,0.647,0.855,-10.678,0.0353,0.922,0.464,118.007,4,40,2017-05-31,Tokyo 42,Beat Vince
68199,FALSE,2,0.251,0.245,-17.616,0.948,0.9,0.407,99.628,4,53,2015-03-10,"Ori, Lost In the Storm (feat. Aeralie Brighton)","Gareth Coker, Aeralie Brighton"
297787,FALSE,7,0.0858,0.234,-17.742,0.736,0.883,0.16,84.439,4,46,2018-04-13,The Ninth Realm,Bear McCreary
255387,FALSE,4,0.211,0.857,-9.819,0.00174,0.819,0.12,187.311,3,1,2014-11-11,Halo Theme Gungnir Mix (feat. Steve Vai),"Paul Lipson, Lennie Moore, Tom Salta, Brian Trifon, Brian Lee White, Steve Vai"
151125,FALSE,9,0.0861,0.261,-19.117,0.644,0.883,0.11,169.147,5,49,2017-03-03,Aloy's Theme (feat. Julie Elven) - Part 1 - Motherland,Joris de Man
186613,FALSE,2,0.413,0.881,-10.675,0.0305,0.809,0.0789,135.017,4,51,2012-10-30,Assassin's Creed III Main Theme,Lorne Balfe
257360,FALSE,9,0.216,0.18,-16.298,0.927,0.934,0.0805,116.076,4,53,2014-09-12,Finale,John Paesano
118307,FALSE,5,0.64,0.558,-11.46,0.602,0.933,0.124,102.009,3,45,2016-06-03,Warcraft,Ramin Djawadi
155960,FALSE,9,0.148,0.266,-16.525,0.695,0.859,0.0769,85.99,4,53,2018-04-27,Infinity War,Alan Silvestri
182872,FALSE,10,0.175,0.307,-18.926,0.032,0.443,0.109,120.862,4,43,2017-03-03,Victory (feat. Julie Elven) - Part 1 - Motherland,Joris de Man
234244,FALSE,11,0.231,0.509,-10.423,0.845,0.911,0.115,69.288,4,55,2014-02-07,"Skyrim - ""Dragonborn Theme”",Video Games Live
251493,FALSE,11,0.239,0.85,-8.514,0.00873,0.886,0.109,93.659,3,1,2004,Halo Theme - Mjolnir Mix,"Martin O'Donnell, Michael Salvatori"
157027,FALSE,5,0.318,0.308,-13.676,0.438,0.889,0.109,103.925,4,60,2014-11-07,The Imitation Game,"Alexandre Desplat, London Symphony Orchestra"
182022,FALSE,1,0.37,0.219,-19.093,0.688,0.897,0.0743,127.982,4,51,2015-11-06,Fallout 4 Main Theme,Inon Zur
224973,FALSE,4,0.259,0.204,-20.866,0.315,0.883,0.0829,119.957,4,42,2016-03-08,We Are the Division,Ola Strandh
114933,FALSE,7,0.221,0.466,-15.996,0.746,0.919,0.0959,125.132,4,50,2016-05-10,A Thief's End,Henry Jackman
326773,FALSE,0,0.103,0.384,-16.401,0.549,0.897,0.111,79.262,4,60,2007-10-01,Arrival to Earth,Steve Jablonsky
142773,FALSE,1,0.349,0.229,-20.614,0.537,0.889,0.107,129.046,4,52,2011-07-01,Statues,Alexandre Desplat
130907,FALSE,10,0.437,0.392,-13.024,0.145,0.783,0.104,98.041,4,52,2011-11-08,Call Of Duty: MW3,Brian Tyler
199423,FALSE,9,0.132,0.0176,-27.762,0.927,0.964,0.0729,95.979,3,8,2014-11-18,Day One,Hans Zimmer
